SimID,R,C,VDC,x,Vout
6_9c23ef45,7635.283049704494,4.499121406416449e-05,2.4500443956517315,0.0,0.0
5_2ff955a9,9758.661281203884,7.171732989698366e-05,3.526216329987408,0.0,0.0
0_97af2fa4,7762.164880704037,9.086721100168995e-05,9.551453220652952,0.0,0.0
7_033388fd,7882.036622241842,2.7296932028331386e-05,8.454245409741432,0.0,0.0
10_bcfde65c,3770.9004399025544,4.563205135437775e-05,8.636886792071751,0.0,0.0
9_3ce0ff9b,4558.820785166115,9.026997941472979e-05,6.569629247826963,0.0,0.0
3_d363227e,7003.943487687703,9.692072009703762e-05,2.5828725280637586,0.0,0.0
1_ed0aef93,4444.896553545318,7.000074266769388e-05,11.690090686670642,0.0,0.0
11_871569d5,9274.973389601158,2.031610014304351e-05,7.3922827014299255,0.0,0.0
14_be40e9e8,4489.8005683905785,1.7759601015629247e-05,8.869478425773817,0.0,0.0
16_958a6903,5590.389391456764,7.58761010305375e-05,2.4416352671304455,0.0,0.0
15_457440d1,2349.663345669291,8.567576698082832e-05,9.12882404307096,0.0,0.0
2_780fa1f6,8600.119407122686,2.6660409149806004e-05,6.508153048225766,0.0,0.0
18_220731de,8293.548602726563,4.3266094673532864e-05,11.203188061071584,0.0,0.0
8_c88be7cf,1368.3249634879041,9.72945711913458e-06,2.340157550913842,0.0,0.0
4_51b1d2d9,1032.3557440877303,7.789721530618288e-05,1.153299164790217,0.0,0.0
12_ea4ffaf0,6474.264688798579,3.0665066752650186e-05,3.1975321682606337,0.0,0.0
20_318c5dec,7605.068626845201,5.845138709438229e-05,4.310435609590337,0.0,0.0
13_6ce9a09c,8245.339971381218,5.796403493729541e-05,9.84536978800489,0.0,0.0
19_814a3f43,6353.477551308442,6.276815318617408e-05,5.373360132074347,0.0,0.0
24_45e728a1,7805.996621030243,4.257255968803059e-06,4.1509084957026054,0.0,0.0
17_32f24732,731.7908354313357,7.197434929949859e-05,2.3612918401537906,0.0,0.0
21_e48389b2,3609.8070844856966,6.501967549532653e-05,6.374424498866866,0.0,0.0
22_6851e9a6,9709.910441509543,8.535987681874921e-06,8.291506340399406,0.0,0.0
23_fe28cf45,8941.899101089757,4.163915947684391e-05,11.51185582751667,0.0,0.0
